"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1981 to March 4, 2016, retrieved on March 5, 2016"
" (12847 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station DAVIS.T.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        12763           42           41            1            0        "
"                     DAVIS.T      DAVIS.C      DAVIS.A      DAVIS.C      "
"Air Temps, max/min   12586          112          144            5            0        "
"                     DAVIS.T      DAVIS.C      DAVIS.A      DAVIS.C      "
"Air Temps, observed  11598            0            0            0         1249        "
"                     DAVIS.T      none         none         none         "
"Soil Temps, max/min  12216           88            0          543            0        "
"                     DAVIS.T      DAVIS.C      none         DAVIS.C      "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAVIS.T,19810101,800,0.000,,6.1,4.4,,,,,,,10.0,8.9,,,,,
DAVIS.T,19810102,800,0.000,,6.1,3.3,,,,,,,8.9,7.8,,,,,
DAVIS.T,19810103,800,0.000,,10.0,3.3,,,,,,,10.6,7.8,,,,,
DAVIS.T,19810104,800,0.000,,17.2,4.4,,,,,,,13.9,7.8,,,,,
DAVIS.T,19810105,800,0.000,,12.8,4.4,,,,,,,13.3,8.3,,,,,
DAVIS.T,19810106,800,0.000,,7.8,3.3,,,,,,,10.0,8.9,,,,,
DAVIS.T,19810107,800,0.000,,7.8,5.6,,,,,,,10.0,8.9,,,,,
DAVIS.T,19810108,800,0.000,,7.2,4.4,,,,,,,10.0,8.9,,,,,
DAVIS.T,19810109,800,0.000,,5.6,3.9,,,,,,,8.9,7.8,,,,,
DAVIS.T,19810110,800,0.000,,5.0,2.8,,,,,,,8.9,7.8,,,,,
DAVIS.T,19810111,800,0.000,,6.1,2.8,,,,,,,8.9,7.8,,,,,
DAVIS.T,19810112,800,0.000,,10.0,2.8,,,,,,,10.0,7.2,,,,,
DAVIS.T,19810113,800,0.761,,15.6,0.6,,,,,,,12.8,6.7,,,,,
DAVIS.T,19810114,800,0.000,,15.0,0.6,,,,,,,12.2,6.1,,,,,
DAVIS.T,19810115,800,0.000,,17.2,1.7,,,,,,,13.3,6.1,,,,,
DAVIS.T,19810116,800,1.523,,16.1,4.4,,,,,,,13.9,7.2,,,,,
DAVIS.T,19810117,800,1.269,,13.9,8.3,,,,,,,12.8,10.0,,,,,
DAVIS.T,19810118,800,0.254,,17.8,6.7,,,,,,,15.6,10.0,,,,,
DAVIS.T,19810119,800,0.508,,14.4,7.2,,,,,,,13.3,10.0,,,,,
DAVIS.T,19810120,800,3.046,,13.3,8.3,,,,,,,13.3,11.1,,,,,
DAVIS.T,19810121,800,0.761,,15.0,9.4,,,,,,,13.9,10.6,,,,,
DAVIS.T,19810122,800,0.000,,12.8,10.0,,,,,,,12.2,11.1,,,,,
DAVIS.T,19810123,800,27.66,,12.8,9.4,,,,,,,12.2,11.1,,,,,
DAVIS.T,19810124,800,3.553,,12.2,4.4,,,,,,,13.3,7.2,,,,,
DAVIS.T,19810125,800,0.000,,12.2,0.0,,,,,,,12.2,6.1,,,,,
DAVIS.T,19810126,800,2.792,,10.0,2.2,,,,,,,10.6,5.6,,,,,
DAVIS.T,19810127,800,25.63,,11.7,6.7,,,,,,,10.0,8.3,,,,,
DAVIS.T,19810128,800,21.82,,13.3,9.4,,,,,,,11.7,9.4,,,,,
DAVIS.T,19810129,800,18.78,,12.8,5.0,,,,,,,12.8,8.3,,,,,
DAVIS.T,19810130,800,0.000,,12.2,3.3,,,,,,,13.3,7.8,,,,,
DAVIS.T,19810131,800,0.000,,13.3,0.6,,,,,,,12.8,6.1,,,,,
DAVIS.T,19810201,800,0.000,,13.3,0.0,,,,,,,13.3,6.1,,,,,
DAVIS.T,19810202,800,0.000,,15.6,2.2,,,,,,,14.4,5.6,,,,,
DAVIS.T,19810203,800,0.000,,16.1,0.0,,,,,,,14.4,6.7,,,,,
DAVIS.T,19810204,800,0.000,,16.1,1.1,,,,,,,14.4,6.1,,,,,
DAVIS.T,19810205,800,0.000,,13.3,2.2,,,,,,,12.8,6.7,,,,,
DAVIS.T,19810206,800,0.000,,12.8,5.0,,,,,,,13.3,8.3,,,,,
DAVIS.T,19810207,800,0.000,,12.8,3.9,,,,,,,12.8,8.9,,,,,
DAVIS.T,19810208,800,0.000,,11.1,5.6,,,,,,,11.1,8.9,,,,,
DAVIS.T,19810209,800,1.523,R,16.1,5.6,,,,,,,15.6,8.9,,,,,
DAVIS.T,19810210,800,0.000,,14.4,4.4,,,,,,,13.9,8.9,,,,,
DAVIS.T,19810211,800,3.300,R,18.3,7.2,,,,,,,16.7,8.9,,,,,
DAVIS.T,19810212,800,0.000,,17.8,7.2,,,,,,,17.8,11.1,,,,,
DAVIS.T,19810213,800,2.792,R,16.1,8.9,,,,,,,14.4,10.6,,,,,
DAVIS.T,19810214,800,5.584,R,18.3,11.1,,,,,,,18.9,13.3,,,,,
DAVIS.T,19810215,800,0.000,,18.9,7.8,,,,,,,19.4,12.2,,,,,
DAVIS.T,19810216,800,0.000,,20.0,6.1,,,,,,,17.8,11.1,,,,,
DAVIS.T,19810217,800,0.254,R,18.9,8.9,,,,,,,18.9,11.7,,,,,
DAVIS.T,19810218,800,0.000,,22.8,5.6,,,,,,,21.1,12.2,,,,,
DAVIS.T,19810219,800,0.000,,20.0,10.0,,,,,,,19.4,11.7,,,,,
DAVIS.T,19810220,800,0.000,,15.6,5.6,,,,,,,16.7,11.7,,,,,
DAVIS.T,19810221,800,0.000,,20.6,6.7,,,,,,,20.0,12.2,,,,,
DAVIS.T,19810222,800,0.000,,20.6,3.3,,,,,,,19.4,11.1,,,,,
DAVIS.T,19810223,800,0.000,,18.3,3.3,,,,,,,18.3,11.1,,,,,
DAVIS.T,19810224,800,1.015,R,13.9,6.1,,,,,,,15.6,11.1,,,,,
DAVIS.T,19810225,800,0.254,R,12.8,4.4,,,,,,,15.6,10.0,,,,,
DAVIS.T,19810226,800,0.508,R,12.8,2.2,,,,,,,13.3,8.9,,,,,
DAVIS.T,19810227,800,1.523,R,15.6,2.8,,,,,,,16.7,8.9,,,,,
DAVIS.T,19810228,800,0.000,,12.8,3.9,,,,,,,12.8,10.0,,,,,
DAVIS.T,19810301,800,3.046,R,14.4,6.7,,,,,,,13.9,10.0,,,,,
DAVIS.T,19810302,800,0.254,R,15.0,7.2,,,,,,,16.1,10.0,,,,,
DAVIS.T,19810303,800,0.000,,15.6,2.2,,,,,,,15.6,8.9,,,,,
DAVIS.T,19810304,800,4.822,R,11.1,5.6,,,,,,,12.2,8.9,,,,,
DAVIS.T,19810305,800,4.061,R,16.7,2.8,,,,,,,15.6,7.8,,,,,
DAVIS.T,19810306,800,0.000,,17.2,2.8,,,,,,,18.9,7.8,,,,,
DAVIS.T,19810307,800,0.000,,18.3,4.4,,,,,,,18.3,9.4,,,,,
DAVIS.T,19810308,800,0.000,,20.0,5.0,,,,,,,20.0,11.1,,,,,
DAVIS.T,19810309,800,0.000,,22.2,4.4,,,,,,,21.7,11.1,,,,,
DAVIS.T,19810310,800,0.000,,22.2,6.1,,,,,,,21.7,11.7,,,,,
DAVIS.T,19810311,800,0.000,,21.7,5.0,,,,,,,22.2,12.2,,,,,
DAVIS.T,19810312,800,0.000,,17.2,4.4,,,,,,,20.0,12.8,,,,,
DAVIS.T,19810313,800,0.000,,15.0,6.7,,,,,,,19.4,13.3,,,,,
DAVIS.T,19810314,800,0.000,,15.6,5.6,,,,,,,18.9,13.3,,,,,
DAVIS.T,19810315,800,0.761,R,10.6,6.7,,,,,,,13.3,13.3,,,,,
DAVIS.T,19810316,800,27.41,R,16.1,2.8,,,,,,,17.2,10.0,,,,,
DAVIS.T,19810317,800,0.000,,17.2,4.4,,,,,,,17.8,10.0,,,,,
DAVIS.T,19810318,800,0.000,,11.7,6.1,,,,,,,13.9,10.0,,,,,
DAVIS.T,19810319,800,12.69,R,13.9,8.9,,,,,,,15.6,11.7,,,,,
DAVIS.T,19810320,800,3.300,R,12.8,3.3,,,,,,,13.3,8.9,,,,,
DAVIS.T,19810321,800,8.122,R,16.7,3.9,,,,,,,15.6,9.4,,,,,
DAVIS.T,19810322,800,0.000,,18.3,7.2,,,,,,,19.4,11.1,,,,,
DAVIS.T,19810323,800,0.000,,19.4,4.4,,,,,,,21.7,11.1,,,,,
DAVIS.T,19810324,800,0.000,,18.9,4.4,,,,,,,20.6,11.1,,,,,
DAVIS.T,19810325,800,13.19,R,17.8,9.4,,,,,,,17.8,12.2,,,,,
DAVIS.T,19810326,800,1.269,R,16.7,6.7,,,,,,,20.6,11.7,,,,,
