"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1981 to November 23, 2021, retrieved on November 24, 2021"
" (14937 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 78% of requested data were available from station DAVIS.T.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        13802           42          928          165            0        "
"                     DAVIS.T      DAVIS.C      DAVIS.A      DAVIS.C      "
"Air Temps, max/min   13584          112         1080          161            0        "
"                     DAVIS.T      DAVIS.C      DAVIS.A      DAVIS.C      "
"Air Temps, observed  12631            0            0            0         2306        "
"                     DAVIS.T      none         none         none         "
"Soil Temps, max/min  13225           88            0         1624            0        "
"                     DAVIS.T      DAVIS.C      none         DAVIS.C      "
"Solar Radiation       1298        12773          148          718            0        "
"                     DAVIS.T      DAVIS.A      ZAMORA.A     DAVIS.A      "
"Wind Speed & Dir     13119            0            0            0         1818        "
"                     DAVIS.T      none         none         none         "
"Weather Condition    13428            0            0            0         1509        "
"                     DAVIS.T      none         none         none         "
"Pan Evaporation      13305            0            0         1632            0        "
"                     DAVIS.T      none         none         DAVIS.C      "
"Bulb Temps            9795            0            0            0         5142        "
"                     DAVIS.T      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAVIS.T,19810101,800,0.00,,43,40,,F,,,41.0,41.0,50,48,0.00,143,,,,
DAVIS.T,19810102,800,0.00,,43,38,,F,,,39.0,39.0,48,46,0.01,142,,,,
DAVIS.T,19810103,800,0.00,,50,38,,PC,,,43.0,43.0,51,46,0.00,141,,,,
DAVIS.T,19810104,800,0.00,,63,40,,F,,,43.0,43.0,57,46,0.00,129,,,,
DAVIS.T,19810105,800,0.00,,55,40,,F,,,45.0,45.0,56,47,0.08,158,,,,
DAVIS.T,19810106,800,0.00,,46,38,,F,,,45.0,46.0,50,48,0.03,143,,,,
DAVIS.T,19810107,800,0.00,,46,42,,F,,,42.0,43.0,50,48,0.01,127,,,,
DAVIS.T,19810108,800,0.00,,45,40,,F,,,41.0,42.0,50,48,0.04,125,,,,
DAVIS.T,19810109,800,0.00,,42,39,,F,,,40.0,41.0,48,46,0.02,147,,,,
DAVIS.T,19810110,800,0.00,,41,37,,F,,,37.0,38.0,48,46,0.02,138,,,,
DAVIS.T,19810111,800,0.00,,43,37,,F,,,37.0,37.0,48,46,0.01,152,,,,
DAVIS.T,19810112,800,0.00,,50,37,,F,,,39.0,40.0,50,45,0.01,150,,,,
DAVIS.T,19810113,800,0.03,,60,33,,F,,,35.0,35.0,55,44,0.02,165,,,,
DAVIS.T,19810114,800,0.00,,59,33,,F,,,35.0,35.0,54,43,0.03,160,,,,
DAVIS.T,19810115,800,0.00,,63,35,,PC,,,39.0,40.0,56,43,0.05,159,,,,
DAVIS.T,19810116,800,0.06,,61,40,,PC,,,49.0,50.0,57,45,0.06,181,,,,
DAVIS.T,19810117,800,0.05,,57,47,,CY,,,48.0,49.0,55,50,0.05,173,,,,
DAVIS.T,19810118,800,0.01,,64,44,,PC,,,44.0,45.0,60,50,0.00,170,,,,
DAVIS.T,19810119,800,0.02,,58,45,,PC,,,50.0,51.0,56,50,0.05,178,,,,
DAVIS.T,19810120,800,0.12,,56,47,,F,,,49.0,50.0,56,52,0.02,175,,,,
DAVIS.T,19810121,800,0.03,,59,49,,CY,,,51.0,51.0,57,51,0.02,170,,,,
DAVIS.T,19810122,800,0.00,,55,50,,CY,,,50.0,51.0,54,52,0.01,161,,,,
DAVIS.T,19810123,800,1.09,,55,49,,PC,,,49.0,50.0,54,52,0.07,165,,,,
DAVIS.T,19810124,800,0.14,,54,40,,C,,,40.0,41.0,56,45,0.06,186,,,,
DAVIS.T,19810125,800,0.00,,54,32,,C,,,35.0,36.0,54,43,0.03,192,,,,
